id,name,country,proposed_type,confidence,evidence,source,wikipedia_url
1006,Park Hall,England,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Park_Hall_(Oswestry)
1007,Deeside Stadium,Wales,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Deeside_Stadium
1008,The Oval,Wales,OPEN,low(default),,default,"https://en.wikipedia.org/wiki/The_Oval,_Caernarfon"
1009,Jenner Park,Wales,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Jenner_Park_Stadium
1012,Maes Tegid,Wales,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Maes_Tegid
1014,Cae-y-Castell,Wales,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Cae-y-Castell
1015,Stebonheath Park,Wales,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Stebonheath_Park
1016,Cardiff International Sports Campus,Wales,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Cardiff_International_Sports_Campus
1018,The Oval,Northern Ireland,OPEN,low(default),,default,https://en.wikipedia.org/wiki/The_Oval_(Belfast)
1019,Solitude,Northern Ireland,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Solitude_(football_ground)
1020,Seaview,Northern Ireland,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Seaview_(football_ground)
1021,Inver Park,Northern Ireland,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Inver_Park
1022,The Showgrounds,Northern Ireland,OPEN,low(default),,default,https://en.wikipedia.org/wiki/The_Showgrounds_(Coleraine)
1023,Mourneview Park,Northern Ireland,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Mourneview_Park
1024,Ballymena Showgrounds,Northern Ireland,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Ballymena_Showgrounds
1025,Loughshore Hotel Arena,Northern Ireland,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Taylors_Avenue
1026,Shamrock Park,Northern Ireland,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Shamrock_Park
1027,Clandeboye Park,Northern Ireland,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Clandeboye_Park
1029,New Adana Stadium,Turkey,OPEN,low(default),,default,https://en.wikipedia.org/wiki/New_Adana_Stadium
1030,Diyarbakır Stadium,Turkey,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Diyarbakır_Stadium
1031,17 Eylül Stadium,Turkey,OPEN,low(default),,default,https://en.wikipedia.org/wiki/17_Eylül_Stadium
1032,Bodrum District Stadium,Turkey,OPEN,low(default),,default,https://tr.wikipedia.org/wiki/Bodrum_İlçe_Stadyumu
1033,Arsenal Stadium,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Arsenal_Stadium_(Tula)
